Designator,Mid X,Mid Y,Rotation,Layer
C1,117.0,-90.6933,90.0,top
C2,118.8466,-71.12,180.0,top
C3,117.8,-63.1567,270.0,top
C4,122.7684,-45.875,0.0,top
C6,140.7183,-53.525,180.0,top
C7,136.95,-47.8066,90.0,top
C8,118.8433,-45.725,180.0,top
D1,139.49,-60.825,90.0,top
D2,139.54,-66.1,90.0,top
D3,167.875,-38.57,270.0,top
D4,102.3,-70.575,270.0,top
D5,160.425,-82.8,0.0,top
J1,105.46,-82.5,90.0,top
J2,144.235,-49.868,90.0,top
J3,160.675,-71.775,180.0,top
J4,172.725,-43.475,180.0,top
J5,111.025,-46.7,0.0,bottom
J6,111.0,-58.62,0.0,bottom
R1,140.465,-69.9317,270.0,top
R2,131.3433,-47.25,180.0,top
R3,102.35,-78.6316,90.0,top
R4,160.4684,-77.35,0.0,top
R5,154.3684,-47.625,0.0,top
RV1,117.3,-82.8,90.0,top
U1,165.715,-60.425,270.0,top
U2,129.0475,-82.3,180.0,top
U3,128.7975,-60.825,180.0,top
U4,116.293,-58.375,90.0,top
U5,142.2918,-64.6782,0.0,top
U6,114.01,-77.585,0.0,top
U7,148.3,-44.782,180.0,top
U8,168.025,-89.865,0.0,top
U9,139.655,-90.295,0.0,top
